,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Title,Artist,Album,Popularity,Appreciation
0,0.0118,0.853,166693,0.688,0.0,8,0.151,-6.509,0,0.296,150.012,4,0.565,Feed Me Dope,Future,SUPER SLIMEY,77,0
1,0.0151,0.86,173720,0.865,8.77e-05,10,0.0587,-5.427,0,0.179,96.985,4,0.838,Baila el Chiki Chiki (feat. Tata Golosa) - Original Mix,Rodolfo Chikilcuatre,International Hots...Hits...Latinos,31,0
2,0.259,0.961,220173,0.698,0.801,1,0.0753,-5.892,1,0.229,106.51,4,0.971,Chacarron... Macarron,La Yanta,!.Ahora..!!!..Reggaeton,31,0
3,0.0124,0.799,213308,0.862,0.000512,2,0.0662,-7.178,1,0.192,99.965,4,0.591,Oriental Poison - Extended Version,Baby Brown,Oriental Poison - Single,22,0
4,0.325,0.727,249940,0.785,0.126,5,0.31,-6.707,0,0.0603,129.649,4,0.96,"7, the element",Vitas,Philosophy of Miracle,61,0
5,0.105,0.775,229747,0.838,1.17e-06,0,0.467,-5.023,1,0.0333,130.045,4,0.948,Despre Tine,O-Zone,Number 1,42,0
6,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281,Mask Off,Future,FUTURE,81,0
7,0.122,0.878,309760,0.859,5.9e-05,0,0.0734,-8.202,1,0.05,130.167,4,0.865,El Tiburon,Proyecto Uno,D.J. Latin Mix '98,0,0
8,0.000118,0.63,393207,0.674,0.461,10,0.0809,-16.123,0,0.0501,132.54,4,0.765,Disco samba,La Curva,Passione rossonera,23,0
9,0.00181,0.476,276480,0.902,0.000958,10,0.366,-7.048,0,0.101,175.997,4,0.364,Maximum Satan,Annihilator,Schizo Deluxe,0,0
10,0.000118,0.295,281880,0.932,0.0189,7,0.876,-6.22,1,0.0942,125.96,4,0.414,Warbird,Annihilator,Schizo Deluxe,0,0
11,1.82e-05,0.385,281096,0.981,0.128,5,0.373,-4.077,0,0.0811,163.936,4,0.326,Icarus,Through The Noise,Fall Of Gaia,6,0
12,0.0746,0.761,235822,0.878,6.08e-05,11,0.287,-7.11,0,0.0613,127.008,4,0.854,Spanish Girl,Zona Rika,Pa' Gozar - Zona Rika,47,0
