,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Title,Artist,Album,Popularity,Appreciation
0,0.0462,0.734,202333,0.637,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,0.648,Stressed Out,Twenty One Pilots,Blurryface,82,1
1,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566,Ride,Twenty One Pilots,Blurryface,81,1
2,0.121,0.719,191493,0.645,0.00316,2,0.362,-6.141,0,0.0358,123.02,4,0.69,Doubt,Twenty One Pilots,Blurryface,68,1
3,0.0573,0.616,253093,0.811,1.57e-05,7,0.0566,-4.804,1,0.0626,159.929,4,0.913,Lane Boy,Twenty One Pilots,Blurryface,72,1
4,0.194,0.565,236733,0.437,7.14e-06,6,0.0656,-7.68,0,0.0403,96.132,3,0.217,Goner,Twenty One Pilots,Blurryface,68,1
5,0.122,0.597,226787,0.666,0.00302,6,0.1,-6.365,0,0.0418,164.992,4,0.626,Polarize,Twenty One Pilots,Blurryface,68,1
6,0.098,0.766,267720,0.519,0.0,9,0.0855,-7.355,0,0.0366,129.972,4,0.612,Car Radio,Twenty One Pilots,Vessel,75,1
7,0.00694,0.684,273336,0.858,0.000167,1,0.0828,-4.266,1,0.0342,129.963,4,0.518,Guns For Hands,Twenty One Pilots,Vessel,67,1
8,0.23,0.547,177200,0.936,3.04e-06,9,0.172,-4.023,1,0.102,120.003,4,0.642,We Don't Believe What's On TV,Twenty One Pilots,Blurryface,67,1
9,0.445,0.68,163880,0.693,0.0,0,0.208,-7.234,1,0.0435,114.948,4,0.851,House Of Gold,Twenty One Pilots,Vessel,72,1
10,0.00302,0.562,158667,0.904,0.0,1,0.0433,-4.947,1,0.0807,94.481,4,0.651,Emperor's New Clothes,Panic! At The Disco,Death Of A Bachelor,73,1
11,0.00155,0.572,187187,0.912,1.2e-06,7,0.102,-4.875,1,0.0707,156.073,4,0.606,This Is Gospel,Panic! At The Disco,"Too Weird To Live, Too Rare To Die!",74,1
12,0.0137,0.462,203507,0.538,0.0,0,0.429,-5.527,1,0.059,139.256,4,0.405,Death Of A Bachelor,Panic! At The Disco,Death Of A Bachelor,76,1
13,0.00205,0.57,178600,0.865,0.0,8,0.404,-4.518,1,0.0472,110.01,4,0.691,Victorious,Panic! At The Disco,Death Of A Bachelor,71,1
14,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548,Heathens,Twenty One Pilots,Heathens,81,1
15,0.011,0.578,180627,0.886,0.0,11,0.143,-4.348,1,0.0633,80.008,4,0.615,Hallelujah,Panic! At The Disco,Death Of A Bachelor,69,1
16,0.158,0.733,213200,0.636,0.0,9,0.32,-6.693,1,0.0299,99.996,4,0.591,The Pantaloon,Twenty One Pilots,Twenty One Pilots,60,1
17,0.000247,0.455,198040,0.91,0.0,2,0.107,-4.464,1,0.166,114.109,4,0.447,Crazy=Genius,Panic! At The Disco,Death Of A Bachelor,67,1
18,0.00329,0.556,254320,0.708,0.0,7,0.329,-5.708,1,0.039,128.006,4,0.206,Golden Days,Panic! At The Disco,Death Of A Bachelor,65,1
19,0.474,0.174,202547,0.337,0.000294,10,0.11,-8.767,1,0.0313,85.574,3,0.0978,Impossible Year,Panic! At The Disco,Death Of A Bachelor,64,1
20,0.00272,0.506,208707,0.817,0.0,11,0.0486,-5.051,0,0.0335,109.952,4,0.506,House Of Memories,Panic! At The Disco,Death Of A Bachelor,68,1
21,0.154,0.61,296520,0.893,4.41e-05,9,0.021,-3.681,1,0.0921,104.031,4,0.673,Ain't It Fun,Paramore,Paramore,71,1
22,0.00652,0.47,200626,0.843,1.12e-05,11,0.0734,-4.994,0,0.0435,174.93,4,0.687,Songs I Can't Listen To,Neon Trees,Songs I Can't Listen To,46,1
23,0.00563,0.47,177280,0.92,0.0,8,0.349,-3.855,1,0.0617,154.917,4,0.692,Everybody Talks,Neon Trees,Picture Show,62,1
24,0.00647,0.695,182693,0.818,4.87e-06,5,0.0219,-5.379,0,0.0334,119.965,4,0.916,Hard Times,Paramore,Hard Times,63,1
25,0.0524,0.779,204347,0.787,0.0,10,0.14,-4.305,0,0.108,124.982,4,0.708,Believer,Imagine Dragons,Evolve,85,1
26,0.259,0.372,216707,0.806,2.21e-05,9,0.171,-6.298,1,0.0693,76.552,4,0.463,Toda la vida,Fuel Fandango,Toda la vida,24,1
27,0.0921,0.652,233116,0.761,2.19e-05,2,0.288,-5.538,1,0.0443,127.967,4,0.328,Lo peor es lo mejor,Fangoria,Miscelánea de canciones para robótica avanzada,28,1
28,0.000554,0.627,251227,0.816,1.67e-06,5,0.0945,-4.84,1,0.0263,128.01,4,0.509,El Peor Grupo del Mundo,Sidonie,El Peor Grupo del Mundo,51,1
29,0.195,0.657,222000,0.867,0.0,1,0.0603,-3.525,0,0.0575,99.016,4,0.818,Toc Toc - Banda Sonora Original de la Película ”Toc Toc”,Macaco,Toc Toc (Banda Sonora Original de la Película ”Toc Toc”),56,1
30,0.639,0.712,181067,0.821,0.000152,5,0.0891,-7.749,1,0.0387,94.941,4,0.957,Volar,Alvaro Soler,Eterno Agosto,46,1
31,0.391,0.228,252907,0.517,0.0,7,0.29,-9.167,0,0.0401,109.83,3,0.204,"Friend, Please",Twenty One Pilots,Twenty One Pilots,63,1
32,0.0186,0.608,278405,0.883,0.0,4,0.101,-5.524,0,0.0425,131.988,4,0.343,Iluminados,Fangoria,Canciones para robots románticos,41,1
33,0.00423,0.449,249151,0.954,0.0,2,0.163,-4.212,1,0.05,170.004,4,0.423,Delirios de un androide cardado,Fangoria,Miscelánea de canciones para robótica avanzada,27,1
34,0.278,0.633,222031,0.885,0.0,11,0.374,-6.802,0,0.0559,95.024,4,0.282,Disco Sally,Fangoria,Miscelánea de canciones para robótica avanzada,31,1
35,0.00502,0.601,187761,0.834,0.15,0,0.121,-3.78,1,0.0455,167.879,4,0.249,Thunder,Imagine Dragons,Thunder,40,1
36,0.0506,0.776,202480,0.741,0.0,7,0.0701,-5.804,1,0.041,120.079,4,0.854,Kissing Strangers,DNCE,Kissing Strangers,75,1
37,0.259,0.707,212459,0.629,1.6e-05,0,0.138,-4.581,0,0.0563,122.863,4,0.457,Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson),87,1
38,0.00769,0.648,188400,0.903,0.0,11,0.281,-4.028,0,0.0377,150.006,4,0.762,In your Bed,Blas Cantó,In your Bed,50,1
39,0.0543,0.628,237310,0.953,0.000763,8,0.121,-4.857,1,0.0526,125.034,4,0.631,Espectacular,Fangoria,Espectacular,50,1
40,0.0263,0.544,229120,0.693,0.0,7,0.182,-5.206,1,0.0383,124.904,4,0.391,Love's Just A Feeling,Lindsey Stirling,Brave Enough (Deluxe Edition),46,1
41,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603,Side To Side,Ariana Grande,Dangerous Woman,79,1
42,0.0255,0.52,209902,0.87,0.000215,11,0.153,-3.363,0,0.0466,151.561,3,0.568,Hold My Heart,Lindsey Stirling,Brave Enough (Deluxe Edition),47,1
43,0.089,0.446,237915,0.793,0.0,0,0.211,-5.365,1,0.156,189.891,4,0.47,Chained To The Rhythm,Katy Perry,Chained To The Rhythm,33,1
44,0.000239,0.487,194877,0.76,0.0216,1,0.126,-6.436,1,0.0375,165.868,4,0.203,Sanguijuela,El beso del escorpión,Sanguijuela,10,1
45,0.414,0.643,199413,0.698,0.0,11,0.169,-4.094,1,0.276,75.073,4,0.556,Human,Rag'n'Bone Man,Human,30,1
46,0.00739,0.493,258373,0.724,8.24e-05,7,0.369,-5.334,1,0.0339,143.989,4,0.302,Breaking Bad,Leiva,Monstruos,62,1
47,0.153,0.695,177835,0.878,0.0,1,0.0764,-3.429,0,0.0441,162.898,4,0.969,White Lies,Max Frost,Low High Low,54,1
48,0.000672,0.681,218025,0.891,1.07e-06,6,0.0631,-4.28,1,0.0408,100.008,4,0.556,Adderall,Max Frost,Adderall,59,1
49,0.0217,0.509,243293,0.879,0.0,0,0.0707,-4.651,1,0.0398,157.969,4,0.339,Cama Vacia,Pignoise,Año Zero,37,1
50,0.0286,0.426,205027,0.76,0.0,6,0.0712,-5.665,1,0.0449,127.904,4,0.876,Todo Me Da Igual,Pignoise,Año Zero,45,1
51,0.025,0.46,159773,0.956,0.0,11,0.0637,-4.492,1,0.0743,170.05,4,0.794,Quiero,Pignoise,Año Zero,42,1
52,0.271,0.414,354320,0.404,0.0,0,0.3,-9.928,0,0.0499,71.105,4,0.224,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),78,1
53,0.0475,0.559,209413,0.868,0.000176,5,0.776,-5.276,1,0.17,156.295,4,0.609,Don't Stop Me Now - Remastered,Queen,Jazz (2011 Remaster),77,1
54,0.0841,0.795,258013,0.435,0.00026,4,0.0763,-8.927,1,0.0324,108.951,4,0.596,I Want To Break Free - Single Remix,Queen,The Works (Deluxe Edition 2011 Remaster),68,1
55,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",80,1
56,0.185,0.807,258286,0.79,1.1e-05,5,0.183,-5.507,1,0.0875,104.967,4,0.462,Better Off,Hendersin,Better Off,52,1
57,0.297,0.633,211160,0.673,0.0,6,0.206,-6.403,0,0.258,86.776,4,0.659,Billionaire (feat. Bruno Mars),Travie McCoy,Lazarus (Explicit),63,1
58,0.643,0.663,191027,0.475,0.0,1,0.122,-8.834,1,0.0417,143.175,4,0.644,Lemon Tree - Album Edit,Fools Garden,Dish Of The Day,41,1
59,0.0376,0.7,183533,0.623,1.03e-05,1,0.133,-5.351,1,0.0789,95.992,4,0.865,Lollipop,MIKA,Life In Cartoon Motion,54,1
60,0.0271,0.676,187733,0.824,0.0152,0,0.363,-5.752,1,0.0449,122.221,4,0.696,Grace Kelly,MIKA,Life In Cartoon Motion,65,1
61,0.00588,0.777,182613,0.625,0.000706,1,0.198,-6.473,0,0.0509,123.973,4,0.899,Drunk and Irresponsible,Blas Cantó,Drunk and Irresponsible,55,1
62,0.0116,0.742,213524,0.809,2.77e-06,1,0.726,-3.591,0,0.176,93.95,4,0.632,NO,Meghan Trainor,NO,20,1
63,0.329,0.574,216000,0.59,0.0,7,0.103,-6.205,1,0.0475,175.2,4,0.96,Solo Si Es Contigo (feat. Bebe),Bombai,Solo Si Es Contigo (feat. Bebe),60,1
64,0.5,0.623,240205,0.488,0.000211,2,0.131,-8.246,1,0.029,114.019,4,0.169,La Llamada,Leiva,La Llamada,67,1
65,0.106,0.547,238440,0.884,9.56e-06,1,0.0715,-5.483,1,0.0457,169.954,4,0.886,El Secreto de las Tortugas - Version 2010,Maldita Nerea,El Secreto de las Tortugas (Version 2010),56,1
66,0.0454,0.716,242267,0.879,0.0,5,0.243,-6.179,0,0.0349,126.368,4,0.905,Feo Fuerte y Formal,Loquillo Y Los Trogloditas,"Feo, Fuerte y Formal",51,1
67,0.000735,0.426,269320,0.855,0.0149,0,0.126,-5.395,0,0.0364,156.071,4,0.17,Cancion De Guerra,Supersubmarina,Santacruz,47,1
68,0.00519,0.331,237627,0.837,0.000718,11,0.0889,-5.364,1,0.0578,150.061,4,0.222,Algo Que Sirva Como Luz,Supersubmarina,Viento de Cara,48,1
69,0.000874,0.538,268707,0.916,6.18e-05,0,0.368,-5.297,1,0.0372,98.51,4,0.532,Arena y Sal,Supersubmarina,Viento de Cara,49,1
70,0.0393,0.469,210613,0.592,0.0,5,0.105,-4.962,1,0.0399,161.996,4,0.0938,Big Girls Cry,Sia,1000 Forms Of Fear,60,1
71,0.0102,0.668,210227,0.725,0.000479,1,0.0561,-6.127,1,0.266,191.944,4,0.729,The Greatest,Sia,This Is Acting (Deluxe Version),78,1
72,0.0205,0.669,206533,0.854,0.0,1,0.047,-4.486,1,0.0999,93.057,4,0.707,Santa's Coming For Us,Sia,Everyday Is Christmas,69,1
73,0.101,0.258,239000,0.437,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,0.0967,Dusk Till Dawn - Radio Edit,ZAYN,Dusk Till Dawn (Radio Edit),97,1
74,0.454,0.321,268960,0.377,0.0,10,0.338,-7.385,1,0.0361,119.483,4,0.367,Hallelujah,Pentatonix,A Pentatonix Christmas,72,1
75,0.66,0.29,243720,0.261,0.0,4,0.155,-9.163,1,0.0277,143.598,4,0.0999,True Colors,Anna Kendrick,True Colors,67,1
76,0.00121,0.598,189360,0.886,0.0627,4,0.545,-5.607,1,0.0342,145.006,4,0.766,Mira cómo vuelo,Miss Caffeina,Detroit,54,1
77,0.896,0.444,142373,0.258,0.000175,10,0.291,-9.505,0,0.0314,94.722,4,0.463,"Of All Living Creatures, Why a Human Being?",Alondra Bentley,Ashfield Avenue,43,1
78,0.0109,0.699,184880,0.7,0.0794,11,0.152,-5.704,1,0.0392,102.023,4,0.3,Best Friend,Sofi Tukker,Best Friend,71,1
79,0.136,0.763,180613,0.915,0.000124,1,0.115,-6.336,0,0.0458,99.988,4,0.177,Colour Me - Möwe Remix,Juke Ross,Colour Me (Möwe Remix),43,1
80,0.0865,0.704,227586,0.813,0.000325,2,0.164,-6.284,0,0.0304,115.994,4,0.372,Outta Here,Two Can,Outta Here,52,1
81,0.128,0.747,184134,0.799,0.0,11,0.0541,-4.066,0,0.0405,104.02,4,0.551,Mama,Jonas Blue,Mama,69,1
82,0.0815,0.617,240560,0.893,0.0,4,0.207,-4.565,1,0.0412,130.98,4,0.789,Cómo Te Atreves,Morat,Sobre El Amor Y Sus Efectos Secundarios,67,1
83,0.0642,0.893,223413,0.745,0.0,11,0.0943,-3.105,0,0.0571,101.018,4,0.872,Feels,Calvin Harris,Feels,82,1
84,0.162,0.437,240960,0.562,1.64e-05,0,0.0838,-6.327,0,0.0403,81.884,4,0.23,To Be Human,Sia,Wonder Woman: Original Motion Picture Soundtrack,63,1
85,0.115,0.797,227292,0.791,6e-05,6,0.144,-5.799,1,0.0626,106.044,4,0.516,Bon Appétit,Katy Perry,Bon Appétit,30,1
86,0.00388,0.56,224947,0.887,0.0,7,0.341,-6.314,1,0.0594,130.026,4,0.198,Good Times,All Time Low,Good Times,34,1
